Player,Season,From Club,To Club,Market Value,Transfer Fee
Jude Bellingham,23/24,Bor. Dortmund,Real Madrid,€120.00m,€103.00m
Jude Bellingham,20/21,Birmingham,Bor. Dortmund,€11.00m,€30.15m
Jude Bellingham,19/20,Birmingham U18,Birmingham,-,-
Erling Haaland,22/23,Bor. Dortmund,Man City,€150.00m,€60.00m
Erling Haaland,19/20,RB Salzburg,Bor. Dortmund,€45.00m,€20.00m
Erling Haaland,18/19,Molde FK,RB Salzburg,€5.00m,€8.00m
Erling Haaland,16/17,Bryne,Molde FK,€200k,€100k
Erling Haaland,15/16,Bryne FK Yth.,Bryne,-,-
Kylian Mbappé,18/19,Monaco,Paris SG,€120.00m,€180.00m
Kylian Mbappé,17/18,Paris SG,Monaco,€120.00m,End of loan
Kylian Mbappé,17/18,Monaco,Paris SG,€35.00m,loan transfer
Kylian Mbappé,15/16,Monaco U19,Monaco,€50k,-
Kylian Mbappé,15/16,Monaco Youth,Monaco U19,-,-
Kylian Mbappé,13/14,Clairef. Yth.,Monaco Youth,-,free transfer
Kylian Mbappé,11/12,AS Bondy Yth.,Clairef. Yth.,-,free transfer
Vinícius Júnior,18/19,Flamengo,Real Madrid,€35.00m,€45.00m
Vinícius Júnior,16/17,Flamengo U20,Flamengo,-,-
Bukayo Saka,19/20,Arsenal U23,Arsenal,-,-
Bukayo Saka,18/19,Arsenal U18,Arsenal U23,-,-
Bukayo Saka,17/18,Arsenal Youth,Arsenal U18,-,-
Phil Foden,17/18,Man City U18,Man City,-,-
Phil Foden,16/17,Man City Youth,Man City U18,-,-
Florian Wirtz,20/21,Leverkusen U19,B. Leverkusen,-,-
Florian Wirtz,19/20,1.FC Köln U17,Leverkusen U19,-,€200k
Florian Wirtz,18/19,1.FC Köln Yth.,1.FC Köln U17,-,-
Florian Wirtz,10/11,Brauweiler Yth.,1.FC Köln Yth.,-,free transfer
Jamal Musiala,20/21,FC Bayern U19,Bayern Munich,€1.00m,-
Jamal Musiala,19/20,FC Bayern U17,FC Bayern U19,-,-
Jamal Musiala,19/20,Chelsea Youth,FC Bayern U17,-,€200k
Jamal Musiala,10/11,Southampton Aca,Chelsea Youth,-,free transfer
Jamal Musiala,10/11,TSV Lehnerz Jgd.,Southampton Aca,-,free transfer
Lautaro Martínez,18/19,Racing Club,Inter,€25.00m,€25.00m
Lautaro Martínez,15/16,Racing Club U20,Racing Club,-,-
Lautaro Martínez,13/14,Liniers,Racing Club U20,-,?
Victor Osimhen,20/21,LOSC Lille,SSC Napoli,€40.00m,€75.00m
Victor Osimhen,19/20,R Charleroi SC,LOSC Lille,€13.00m,€22.40m
Victor Osimhen,19/20,VfL Wolfsburg,R Charleroi SC,€13.00m,€3.50m
Victor Osimhen,18/19,R Charleroi SC,VfL Wolfsburg,€13.00m,End of loan
Victor Osimhen,18/19,VfL Wolfsburg,R Charleroi SC,€1.00m,loan transfer
Victor Osimhen,16/17,Ult. Strikers,VfL Wolfsburg,-,€3.50m
Declan Rice,23/24,West Ham,Arsenal,€90.00m,€116.60m
Declan Rice,17/18,West Ham U21,West Ham,-,-
Declan Rice,16/17,West Ham U18,West Ham U21,-,-
Declan Rice,15/16,West Ham Yth.,West Ham U18,-,-
Declan Rice,13/14,Chelsea Youth,West Ham Yth.,-,free transfer
Rodri,19/20,Atlético Madrid,Man City,€80.00m,€70.00m
Rodri,18/19,Villarreal,Atlético Madrid,€25.00m,€20.00m
Rodri,16/17,Villarreal CF B,Villarreal,-,-
Rodri,15/16,Villarreal U19,Villarreal CF B,-,-
Rodri,13/14,Atl. Madrid U17,Villarreal U19,-,free transfer
Rodri,12/13,Atléti Youth,Atl. Madrid U17,-,-
Rodri,07/08,CF Rayo Majadaho,Atléti Youth,-,€1.50m
Harry Kane,23/24,Tottenham,Bayern Munich,€90.00m,€95.00m
Harry Kane,12/13,Leicester,Tottenham,€500k,End of loan
Harry Kane,12/13,Tottenham,Leicester,€500k,loan transfer
Harry Kane,12/13,Norwich,Tottenham,€500k,End of loan
Harry Kane,12/13,Tottenham,Norwich,-,loan transfer
Harry Kane,11/12,Millwall,Tottenham,-,End of loan
Harry Kane,11/12,Tottenham,Millwall,-,loan transfer
Harry Kane,10/11,Leyton Orient,Tottenham,-,End of loan
Harry Kane,10/11,Tottenham,Leyton Orient,-,loan transfer
Harry Kane,10/11,Spurs U18,Tottenham,-,-
Harry Kane,09/10,Tottenham Yth.,Spurs U18,-,-
Harry Kane,04/05,Watford Yth.,Tottenham Yth.,-,?
Harry Kane,04/05,Rovers FC Youth,Watford Yth.,-,free transfer
Harry Kane,02/03,Arsenal Youth,Rovers FC Youth,-,free transfer
Harry Kane,01/02,Rovers FC Youth,Arsenal Youth,-,free transfer
Rodrygo,19/20,Santos,Real Madrid,€40.00m,€45.00m
Rodrygo,17/18,Santos U20,Santos,-,-
Federico Valverde,18/19,RM Castilla,Real Madrid,€6.00m,-
Federico Valverde,17/18,Dep. La Coruña,RM Castilla,€6.00m,End of loan
