player,season,from_club,to_club,market_value,transfer_fee
Kylian Mbappé,2017,Monaco,Paris SG,35.0,loan transfer
Victor Osimhen,2018,VfL Wolfsburg,R Charleroi SC,1.0,loan transfer
Harry Kane,2012,Tottenham,Leicester,0.5,loan transfer
Harry Kane,2012,Tottenham,Norwich,0.0,loan transfer
Harry Kane,2011,Tottenham,Millwall,0.0,loan transfer
Harry Kane,2010,Tottenham,Leyton Orient,0.0,loan transfer
Federico Valverde,2017,RM Castilla,Dep. La Coruña,3.0,loan transfer
Martin Ødegaard,2020,Real Madrid,Arsenal,40.0,loan transfer
Martin Ødegaard,2019,Real Madrid,Real Sociedad,15.0,loan transfer
Martin Ødegaard,2018,Real Madrid,Vitesse,4.0,loan transfer
Martin Ødegaard,2016,Real Madrid,Heerenveen,2.0,loan transfer
Julián Álvarez,2021,Man City,River Plate,20.0,loan transfer
Moisés Caicedo,2021,Brighton,Beerschot V.A.,5.0,loan transfer
Pedri,2019,Barcelona,UD Las Palmas,0.0,loan transfer
Enzo Fernández,2020,River Plate II,Defensa,0.0,loan transfer
Xavi Simons,2023,Paris SG,RB Leipzig,40.0,loan transfer
Khvicha Kvaratskhelia,2018,Rustavi,Loko Moscow,0.35,loan transfer
William Saliba,2021,Arsenal,Marseille,18.0,loan transfer
William Saliba,2020,Arsenal,OGC Nice,17.0,loan transfer
William Saliba,2019,Arsenal,Saint-Étienne,12.0,loan transfer
Bernardo Silva,2014,Benfica,Monaco,2.5,loan transfer
Nicolò Barella,2019,Cagliari Calcio,Inter,36.0,loan transfer
Nicolò Barella,2015,Cagliari Calcio,Como,0.8,loan transfer
Alexis Mac Allister,2019,Brighton,Boca Juniors,5.0,loan transfer
Alexis Mac Allister,2018,Brighton,Argentinos Jrs.,5.0,loan transfer
Douglas Luiz,2017,Man City,Girona,0.0,loan transfer
Alexander Isak,2018,Bor. Dortmund,Willem II,3.0,loan transfer
Frenkie de Jong,2015,Ajax U21,Willem II,0.25,loan transfer
Alessandro Bastoni,2018,Inter,Parma,2.5,loan transfer
Alessandro Bastoni,2017,Inter,Atalanta BC,1.5,loan transfer
James Maddison,2016,Norwich,Aberdeen FC,1.5,loan transfer
James Maddison,2015,Norwich,Coventry,0.5,loan transfer
Bruno Fernandes,2016,Udinese Calcio,Sampdoria,6.5,loan transfer
Gabriel Magalhães,2017,LOSC Lille,Din. Zagreb II,0.6,loan transfer
Gabriel Magalhães,2017,LOSC Lille,Troyes,0.6,loan transfer
Achraf Hakimi,2018,Real Madrid,Bor. Dortmund,5.0,loan transfer
Ollie Watkins,2014,Exeter City,Weston-super-M.,0.0,loan transfer
Kingsley Coman,2015,Juventus,Bayern Munich,3.5,loan transfer
Jack Grealish,2013,Aston Villa,Notts County,0.15,loan transfer
Mohamed Salah,2015,Chelsea,AS Roma,18.0,loan transfer
Mohamed Salah,2014,Chelsea,Fiorentina,13.0,loan transfer
Nuno Mendes,2021,Sporting CP,Paris SG,40.0,loan transfer
Bremer,2015,Desportivo U20,São Paulo U20,0.0,loan transfer
Randal Kolo Muani,2019,FC Nantes,US Boulogne,0.3,loan transfer
Takefusa Kubo,2021,Real Madrid,RCD Mallorca,15.0,loan transfer
Takefusa Kubo,2020,Real Madrid,Getafe,20.0,loan transfer
Takefusa Kubo,2020,Real Madrid,Villarreal,30.0,loan transfer
Takefusa Kubo,2019,Real Madrid,RCD Mallorca,2.0,loan transfer
Takefusa Kubo,2018,FC Tokyo,Yokohama F. M.,0.3,loan transfer
Loïs Openda,2020,Club Brugge,Vitesse,4.0,loan transfer
Cristian Romero,2021,Atalanta BC,Tottenham,35.0,loan transfer
Cristian Romero,2020,Juventus,Atalanta BC,14.0,loan transfer
Cristian Romero,2019,Juventus,Genoa,15.0,loan transfer
Theo Hernández,2018,Real Madrid,Real Sociedad,15.0,loan transfer
Theo Hernández,2016,Atlético Madrid,Alavés,1.0,loan transfer
Kevin De Bruyne,2012,Chelsea,Werder Bremen,9.0,loan transfer
Kevin De Bruyne,2011,Chelsea,KRC Genk,9.0,loan transfer
Pedro Neto,2017,SC Braga,Lazio,0.25,loan transfer
Pedro Neto,2015,Braga U15,Palmeiras U17,0.0,loan transfer
