player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Jude Bellingham,180.0,Attacking Midfield,Central Midfield,England,2003-06-29,Stourbridge  ,England,186,Real Madrid,2029-06-30,-,,5,right,adidas,21
Erling Haaland,180.0,Centre Forward,,Norway,2000-07-21,Leeds  ,England,195,Manchester City,2027-06-30,-,,9,left,Nike,24
Kylian Mbappé,180.0,Centre Forward,"Left Winger, Right Winger",France,1998-12-20,Paris  ,France,178,Paris Saint-Germain,2024-06-30,-,,7,right,Nike,26
Vinícius Júnior,150.0,Left Winger,"Centre-Forward, Right Winger",Brazil,2000-07-12,São Gonçalo  ,Brazil,176,Real Madrid,2027-06-30,-,,7,right,Nike,24
Bukayo Saka,130.0,Right Winger,"Left Winger, Right Midfield",England,2001-09-05,London  ,England,178,Arsenal FC,2027-06-30,-,,7,left,New Balance,23
Phil Foden,130.0,Right Winger,"Left Winger, Attacking Midfield",England,2000-05-28,Stockport  ,England,171,Manchester City,2027-06-30,-,,47,left,Nike,24
Florian Wirtz,110.0,Attacking Midfield,"Right Winger, Left Winger",Germany,2003-05-03,Pulheim  ,Germany,177,Bayer 04 Leverkusen,2027-06-30,-,,10,right,adidas,21
Jamal Musiala,110.0,Attacking Midfield,"Central Midfield, Left Winger",Germany,2003-02-26,Stuttgart  ,Germany,184,Bayern Munich,2026-06-30,-,,42,right,,21
Lautaro Martínez,110.0,Centre Forward,Second Striker,Argentina,1997-08-22,Bahía Blanca  ,Argentina,174,Inter Milan,2026-06-30,-,,10,right,Nike,27
Victor Osimhen,110.0,Centre Forward,,Nigeria,1998-12-29,Lagos  ,Nigeria,186,SSC Napoli,2026-06-30,-,,9,right,,26
Declan Rice,110.0,Defensive Midfield,"Central Midfield, Centre-Back",England,1999-01-14,London  ,England,188,Arsenal FC,2028-06-30,-,,41,right,adidas,25
Rodri,110.0,Defensive Midfield,Centre-Back,Spain,1996-06-22,Madrid  ,Spain,191,Manchester City,2027-06-30,-,,16,right,Nike,28
Harry Kane,110.0,Centre Forward,Second Striker,England,1993-07-28,London  ,England,188,Bayern Munich,2027-06-30,-,,9,right,,31
Rodrygo,100.0,Right Winger,"Left Winger, Centre-Forward",Brazil,2001-01-09,Osasco  ,Brazil,174,Real Madrid,2028-06-30,-,,11,right,Nike,23
Federico Valverde,100.0,Central Midfield,"Right Winger, Right Midfield",Uruguay,1998-07-22,Montevideo  ,Uruguay,182,Real Madrid,2029-06-30,-,,15,right,Nike,26
Martin Ødegaard,95.0,Attacking Midfield,"Right Winger, Central Midfield",Norway,1998-12-17,Drammen  ,Norway,178,Arsenal FC,2028-06-30,-,,8,left,Nike,26
Gavi,90.0,Central Midfield,"Attacking Midfield, Left Winger",Spain,2004-08-05,Los Palacios y Villafranca  ,Spain,173,FC Barcelona,2026-06-30,-,,6,right,Nike,20
Eduardo Camavinga,90.0,Central Midfield,"Defensive Midfield, Left-Back",France,2002-11-10,Cabinda  ,Angola,182,Real Madrid,2029-06-30,-,,12,left,Nike,22
Julián Álvarez,90.0,Second Striker,"Centre-Forward, Attacking Midfield",Argentina,2000-01-31,Calchín  ,Argentina,170,Manchester City,2028-06-30,-,,19,right,adidas,24
Aurélien Tchouaméni,90.0,Defensive Midfield,"Central Midfield, Centre-Back",France,2000-01-27,Rouen  ,France,188,Real Madrid,2028-06-30,-,,18,right,Nike,24
Rafael Leão,90.0,Left Winger,"Centre-Forward, Second Striker",Portugal,1999-06-10,Almada  ,Portugal,188,AC Milan,2028-06-30,-,,10,right,adidas,25
Bruno Guimarães,85.0,Defensive Midfield,Central Midfield,Brazil,1997-11-16,Rio de Janeiro  ,Brazil,182,Newcastle United,2028-06-30,-,,39,right,adidas,27
