player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Jude Bellingham,€180.00m,Attacking Midfield,['Central Midfield'],England,"Jun 29, 2003 (20)",Stourbridge  ,England,"1,86 m",Real Madrid,30-Jun-29,-,-,#5,right,adidas
Erling Haaland,€180.00m,Centre-Forward,[],Norway,"Jul 21, 2000 (23)",Leeds  ,England,"1,95 m",Manchester City,30-Jun-27,-,-,#9,left,Nike
Kylian Mbappé,€180.00m,Centre-Forward,"['Left Winger', 'Right Winger']",France,"Dec 20, 1998 (25)",Paris  ,France,"1,78 m",Paris Saint-Germain,30-Jun-24,-,-,#7,right,Nike
Vinícius Júnior,€150.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Brazil,"Jul 12, 2000 (23)",São Gonçalo  ,Brazil,"1,76 m",Real Madrid,30-Jun-27,-,-,#7,right,Nike
Bukayo Saka,€130.00m,Right Winger,"['Left Winger', 'Right Midfield']",England,"Sep 5, 2001 (22)",London  ,England,"1,78 m",Arsenal FC,30-Jun-27,-,-,#7,left,New Balance
Phil Foden,€130.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",England,"May 28, 2000 (23)",Stockport  ,England,"1,71 m",Manchester City,30-Jun-27,-,-,#47,left,Nike
Florian Wirtz,€110.00m,Attacking Midfield,"['Right Winger', 'Left Winger']",Germany,"May 3, 2003 (20)",Pulheim  ,Germany,"1,77 m",Bayer 04 Leverkusen,30-Jun-27,-,-,#10,right,adidas
Jamal Musiala,€110.00m,Attacking Midfield,"['Central Midfield', 'Left Winger']",Germany,"Feb 26, 2003 (21)",Stuttgart  ,Germany,"1,84 m",Bayern Munich,30-Jun-26,-,-,#42,right,
Lautaro Martínez,€110.00m,Centre-Forward,['Second Striker'],Argentina,"Aug 22, 1997 (26)",Bahía Blanca  ,Argentina,"1,74 m",Inter Milan,30-Jun-26,-,-,#10,right,Nike
Victor Osimhen,€110.00m,Centre-Forward,[],Nigeria,"Dec 29, 1998 (25)",Lagos  ,Nigeria,"1,86 m",SSC Napoli,30-Jun-26,-,-,#9,right,
Declan Rice,€110.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",England,"Jan 14, 1999 (25)",London  ,England,"1,88 m",Arsenal FC,30-Jun-28,-,-,#41,right,adidas
Rodri,€110.00m,Defensive Midfield,['Centre-Back'],Spain,"Jun 22, 1996 (27)",Madrid  ,Spain,"1,91 m",Manchester City,30-Jun-27,-,-,#16,right,Nike
Harry Kane,€110.00m,Centre-Forward,['Second Striker'],England,"Jul 28, 1993 (30)",London  ,England,"1,88 m",Bayern Munich,30-Jun-27,-,-,#9,right,
Rodrygo,€100.00m,Right Winger,"['Left Winger', 'Centre-Forward']",Brazil,"Jan 9, 2001 (23)",Osasco  ,Brazil,"1,74 m",Real Madrid,30-Jun-28,-,-,#11,right,Nike
Federico Valverde,€100.00m,Central Midfield,"['Right Winger', 'Right Midfield']",Uruguay,"Jul 22, 1998 (25)",Montevideo  ,Uruguay,"1,82 m",Real Madrid,30-Jun-29,-,-,#15,right,Nike
Martin Ødegaard,€95.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",Norway,"Dec 17, 1998 (25)",Drammen  ,Norway,"1,78 m",Arsenal FC,30-Jun-28,-,-,#8,left,Nike
Gavi,€90.00m,Central Midfield,"['Attacking Midfield', 'Left Winger']",Spain,"Aug 5, 2004 (19)",Los Palacios y Villafranca  ,Spain,"1,73 m",FC Barcelona,30-Jun-26,-,-,#6,right,Nike
Eduardo Camavinga,€90.00m,Central Midfield,"['Defensive Midfield', 'Left-Back']",France,"Nov 10, 2002 (21)",Cabinda  ,Angola,"1,82 m",Real Madrid,30-Jun-29,-,-,#12,left,Nike
Julián Álvarez,€90.00m,Second Striker,"['Centre-Forward', 'Attacking Midfield']",Argentina,"Jan 31, 2000 (24)",Calchín  ,Argentina,"1,70 m",Manchester City,30-Jun-28,-,-,#19,right,adidas
Aurélien Tchouaméni,€90.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",France,"Jan 27, 2000 (24)",Rouen  ,France,"1,88 m",Real Madrid,30-Jun-28,-,-,#18,right,Nike
Rafael Leão,€90.00m,Left Winger,"['Centre-Forward', 'Second Striker']",Portugal,"Jun 10, 1999 (24)",Almada  ,Portugal,"1,88 m",AC Milan,30-Jun-28,-,-,#10,right,adidas
Bruno Guimarães,€85.00m,Defensive Midfield,['Central Midfield'],Brazil,"Nov 16, 1997 (26)",Rio de Janeiro  ,Brazil,"1,82 m",Newcastle United,30-Jun-28,-,-,#39,right,adidas
Moisés Caicedo,€80.00m,Defensive Midfield,['Central Midfield'],Ecuador,"Nov 2, 2001 (22)",Santo Domingo  ,Ecuador,"1,78 m",Chelsea FC,30-Jun-31,-,-,#25,right,
Pedri,€80.00m,Central Midfield,"['Attacking Midfield', 'Left Winger']",Spain,"Nov 25, 2002 (21)",Tegueste  ,Spain,"1,74 m",FC Barcelona,30-Jun-26,-,-,#8,right,adidas
Gabriel Martinelli,€80.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Brazil,"Jun 18, 2001 (22)",Guarulhos  ,Brazil,"1,78 m",Arsenal FC,30-Jun-27,-,-,#11,right,adidas
Enzo Fernández,€80.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Argentina,"Jan 17, 2001 (23)",San Martín  ,Argentina,"1,78 m",Chelsea FC,30-Jun-31,-,-,#8,right,
Xavi Simons,€80.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Netherlands,"Apr 21, 2003 (21)",Amsterdam  ,Netherlands,"1,79 m",RB Leipzig,30-Jun-24,Paris Saint-Germain,30-Jun-27,#20,right,Puma
Khvicha Kvaratskhelia,€80.00m,Left Winger,['Second Striker'],Georgia,"Feb 12, 2001 (23)",Tiflis  ,Georgia,"1,83 m",SSC Napoli,30-Jun-27,-,-,#77,both,Nike
William Saliba,€80.00m,Centre-Back,[],France,"Mar 24, 2001 (23)",Bondy  ,France,"1,92 m",Arsenal FC,30-Jun-27,-,-,#2,right,
Rúben Dias,€80.00m,Centre-Back,[],Portugal,"May 14, 1997 (26)",Amadora  ,Portugal,"1,87 m",Manchester City,30-Jun-27,-,-,#3,right,Nike
Bernardo Silva,€80.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",Portugal,"Aug 10, 1994 (29)",Lisboa  ,Portugal,"1,73 m",Manchester City,30-Jun-26,-,-,#20,left,adidas
Lamine Yamal,€75.00m,Right Winger,['Left Winger'],Spain,"Jul 13, 2007 (16)",Esplugues de Llobregat  ,Spain,"1,78 m",FC Barcelona,30-Jun-26,-,-,#27,left,adidas
Luis Díaz,€75.00m,Left Winger,"['Left Midfield', 'Right Winger']",Colombia,"Jan 13, 1997 (27)",Barrancas  ,Colombia,"1,80 m",Liverpool FC,30-Jun-27,-,-,#7,right,
Josko Gvardiol,€75.00m,Centre-Back,['Left-Back'],Croatia,"Jan 23, 2002 (22)",Zagreb  ,Croatia,"1,85 m",Manchester City,30-Jun-28,-,-,#24,left,
Dominik Szoboszlai,€75.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",Hungary,"Oct 25, 2000 (23)",Székesfehérvár  ,Hungary,"1,87 m",Liverpool FC,30-Jun-28,-,-,#8,right,
Nicolò Barella,€75.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Italy,"Feb 7, 1997 (27)",Cagliari  ,Italy,"1,75 m",Inter Milan,30-Jun-26,-,-,#23,right,Nike
Darwin Núñez,€70.00m,Centre-Forward,['Left Winger'],Uruguay,"Jun 24, 1999 (24)",Artigas  ,Uruguay,"1,87 m",Liverpool FC,30-Jun-28,-,-,#9,right,
Alexis Mac Allister,€70.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Argentina,"Dec 24, 1998 (25)",Santa Rosa  ,Argentina,"1,76 m",Liverpool FC,30-Jun-28,-,-,#10,right,adidas
Ronald Araujo,€70.00m,Centre-Back,['Right-Back'],Uruguay,"Mar 7, 1999 (25)",Rivera  ,Uruguay,"1,92 m",FC Barcelona,30-Jun-26,-,-,#4,right,Nike
Douglas Luiz,€70.00m,Central Midfield,['Defensive Midfield'],Brazil,"May 9, 1998 (25)",Rio de Janeiro  ,Brazil,"1,77 m",Aston Villa,30-Jun-26,-,-,#6,right,
Éder Militão,€70.00m,Centre-Back,['Right-Back'],Brazil,"Jan 18, 1998 (26)",Sertãozinho  ,Brazil,"1,86 m",Real Madrid,30-Jun-28,-,-,#3,right,adidas
Gabriel Jesus,€70.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil,"Apr 3, 1997 (27)",São Paulo  ,Brazil,"1,75 m",Arsenal FC,30-Jun-27,-,-,#9,right,adidas
Alexander Isak,€70.00m,Centre-Forward,['Left Winger'],Sweden,"Sep 21, 1999 (24)",Solna  ,Sweden,"1,92 m",Newcastle United,30-Jun-28,-,-,#14,right,adidas
